PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC
93436,20100629,TSLA,17.54000,25.00000,23.89000,19088009,C,23.73000,23.90000,19.00000
93436,20100630,TSLA,23.30000,30.41920,23.83000,17607305,-0.002511,23.61000,23.75000,25.79000
93436,20100701,TSLA,20.27000,25.92000,21.96000,8379501,-0.078473,21.85000,21.90000,25.00000
93436,20100702,TSLA,18.71000,23.10000,19.20000,5255750,-0.125683,19.15000,19.25000,23.00000
93436,20100706,TSLA,15.83000,20.00000,16.11000,7011230,-0.160938,15.98000,16.04000,20.00000
93436,20100707,TSLA,14.98000,16.63000,15.80000,7040719,-0.019243,15.74000,15.79000,16.40000
93436,20100708,TSLA,15.57000,17.52000,17.46000,7835892,0.105063,17.43000,17.47000,16.14000
93436,20100709,TSLA,16.55000,17.90000,17.40000,4131591,-0.003436,17.33000,17.39000,17.58000
93436,20100712,TSLA,17.00000,18.07000,17.05000,2247990,-0.020115,17.00000,17.03000,17.95000
93436,20100713,TSLA,16.90000,18.64000,18.14000,2728047,0.063930,18.07000,18.10000,17.39400
93436,20100714,TSLA,17.76010,20.15000,19.84000,4268066,0.093716,19.71000,19.75000,17.94000
93436,20100715,TSLA,19.00000,21.50000,19.89000,3808547,0.002520,19.81000,19.88000,19.94000
93436,20100716,TSLA,20.05000,21.30000,20.64000,2668775,0.037707,20.68000,20.69000,20.70000
93436,20100719,TSLA,20.92000,22.25000,21.91000,2523874,0.061531,21.91000,21.92000,21.37000
93436,20100720,TSLA,20.05000,21.85000,20.30000,1851514,-0.073482,20.22000,20.25000,21.85000
93436,20100721,TSLA,19.50000,20.90000,20.22000,1273773,-0.003941,20.13000,20.22000,20.66000
93436,20100722,TSLA,20.37000,21.25000,21.00000,978395,0.038576,20.96000,21.00000,20.50000
93436,20100723,TSLA,21.06000,21.56000,21.29000,671447,0.013810,21.27000,21.29000,21.19000
93436,20100726,TSLA,20.30000,21.50000,20.95000,937571,-0.015970,20.86000,20.96000,21.50000
93436,20100727,TSLA,20.26000,21.18000,20.55000,635634,-0.019093,20.46000,20.50000,20.91000
93436,20100728,TSLA,20.51000,20.90000,20.72000,478097,0.008273,20.68000,20.69000,20.55000
93436,20100729,TSLA,20.00000,20.88000,20.35000,627383,-0.017857,20.29000,20.32000,20.77000
93436,20100730,TSLA,19.55000,20.44000,19.94000,434822,-0.020147,19.87000,19.90000,20.20000
93436,20100802,TSLA,20.33300,20.97000,20.92000,731213,0.049147,20.89000,20.91000,20.50000
93436,20100803,TSLA,20.82000,21.95000,21.95000,1249962,0.049235,21.90000,21.94000,21.00000
93436,20100804,TSLA,20.85000,22.18000,21.26000,932114,-0.031435,21.16000,21.26000,21.95000
93436,20100805,TSLA,20.05000,21.55000,20.45000,808496,-0.038100,20.36000,20.44000,21.54000
93436,20100806,TSLA,19.52000,20.16010,19.59000,751942,-0.042054,19.58000,19.66000,20.10000
93436,20100809,TSLA,19.45000,19.98000,19.60000,819983,0.000510,19.53000,19.58000,19.90000
93436,20100810,TSLA,18.82000,19.65000,19.03000,1292609,-0.029082,19.00000,19.02000,19.65000
93436,20100811,TSLA,17.85000,18.88000,17.90000,811366,-0.059380,17.86000,17.90000,18.69000
93436,20100812,TSLA,17.39000,17.90000,17.60000,700764,-0.016760,17.51000,17.53000,17.80000
93436,20100813,TSLA,17.66040,18.45000,18.32000,642546,0.040909,18.05000,18.30000,18.18000
93436,20100816,TSLA,18.26160,18.80000,18.78000,492307,0.025109,18.75000,18.78000,18.45000
93436,20100817,TSLA,18.78000,19.40000,19.15000,456754,0.019702,19.12000,19.15000,18.96000
93436,20100818,TSLA,18.60000,19.59000,18.77000,611590,-0.019843,18.75000,18.77000,19.59000
93436,20100819,TSLA,18.33000,19.25000,18.79000,590246,0.001066,18.74000,18.84000,18.54000
93436,20100820,TSLA,18.51010,19.11000,19.10000,302314,0.016498,19.02000,19.04000,18.65000
93436,20100823,TSLA,19.00000,20.38910,20.13000,1101037,0.053927,20.13000,20.14000,19.09000
93436,20100824,TSLA,18.95000,19.71000,19.20000,740732,-0.046200,19.18000,19.20000,19.25000
93436,20100825,TSLA,18.56000,19.98000,19.90000,513752,0.036458,19.85000,19.90000,19.16000
93436,20100826,TSLA,19.60000,20.27000,19.75000,441594,-0.007538,19.66000,19.74000,19.89000
93436,20100827,TSLA,19.50000,19.86500,19.70000,386159,-0.002532,19.66000,19.70000,19.75000
93436,20100830,TSLA,19.61000,20.19000,19.87000,737459,0.008629,19.79000,19.89000,19.70000
93436,20100831,TSLA,19.33000,19.79000,19.48000,204381,-0.019628,19.56000,19.64000,19.66000
93436,20100901,TSLA,19.60000,20.69000,20.45000,504923,0.049795,20.44000,20.51000,19.62000
93436,20100902,TSLA,20.31030,21.24000,21.06000,499110,0.029829,20.99000,21.06000,20.37000
93436,20100903,TSLA,20.66000,21.30000,21.05000,445393,-0.000475,21.05000,21.06000,20.87000
93436,20100907,TSLA,20.50000,21.00000,20.54000,256434,-0.024228,20.54000,20.64000,20.61000
93436,20100908,TSLA,20.60000,20.95000,20.90000,291836,0.017527,20.82000,20.90000,20.66000
93436,20100909,TSLA,20.69000,21.05000,20.71000,381020,-0.009091,20.71000,20.75000,21.00000
93436,20100910,TSLA,19.76000,20.93000,20.17000,396003,-0.026074,20.18000,20.19000,20.75000
93436,20100913,TSLA,20.50000,20.89950,20.72000,368580,0.027268,20.70000,20.79000,20.89000
93436,20100914,TSLA,20.53000,21.60000,21.12000,685746,0.019305,21.11000,21.21000,20.54000
93436,20100915,TSLA,20.79000,22.00000,21.98000,699330,0.040720,21.98000,22.00000,20.98000
93436,20100916,TSLA,20.84000,23.16000,20.94000,2728672,-0.047316,20.94000,20.99000,22.15000
93436,20100917,TSLA,19.80000,21.32000,20.23000,1215634,-0.033906,20.19000,20.23000,21.02000
93436,20100920,TSLA,20.16000,21.35000,21.05500,963045,0.040781,21.06000,21.11000,20.67000
93436,20100921,TSLA,20.67000,21.55000,20.77000,809709,-0.013536,20.77000,20.80000,20.89000
93436,20100922,TSLA,19.80000,20.95000,19.87000,981001,-0.043332,19.84000,19.88000,20.87000
93436,20100923,TSLA,19.50000,20.14000,19.56000,679723,-0.015601,19.51000,19.54000,19.89000
93436,20100924,TSLA,19.65000,20.19000,20.10000,588518,0.027607,20.07000,20.10000,19.95000
93436,20100927,TSLA,20.05000,20.81000,20.53000,427654,0.021393,20.51000,20.53000,20.40000
93436,20100928,TSLA,20.76000,21.49000,21.40000,1238911,0.042377,21.35000,21.40000,21.04000
93436,20100929,TSLA,21.13000,22.03000,21.98000,1995338,0.027103,21.95000,21.98000,21.19000
93436,20100930,TSLA,20.19000,22.14990,20.40500,2217583,-0.071656,20.38000,20.43000,22.00000
